区站号,Y,X,降雨量,降雨量20-26,总降雨量
53574,39.51666667,112.2666667,1.6,0.3999999999999999,2.0
53575,39.1,112.2,11.9,1.8,13.700000000000001
53576,39.5,112.8166667,29.7,0.8,30.5
53577,39.0,112.3,40.4,3.1,43.5
53578,39.36666667,112.4333333,1.9,0.0,1.9
53579,39.01666667,112.9,34.4,6.1,40.5
53582,39.71666667,113.6666667,22.1,2.5,24.6
53584,39.56666667,113.1666667,17.0,5.0,22.0
53585,39.16666667,113.2666667,12.9,7.9,20.8
53588,38.95,113.5166667,136.3,55.8,192.10000000000002
53590,39.75,114.2666667,12.4,5.2,17.6
53593,39.83333333,114.5666667,9.8,1.3,11.100000000000001
53594,39.45,114.1833333,29.7,19.9,49.599999999999994
53596,38.85,115.1333333,201.4,87.5,288.9
53599,39.36666667,114.6833333,70.0,39.8,109.8
53603,38.83333333,106.3666667,10.4,2.6,13.0
53610,38.56666667,106.35,6.3,3.3000000000000003,9.6
53611,38.88333333,106.55,3.9,1.6,5.5
53612,37.98333333,106.1833333,2.6,0.3,2.9
53614,38.46666667,106.2,1.0,0.7,1.7
53615,38.8,106.7,14.4,1.4,15.8
53617,38.03333333,106.0833333,1.8,0.4,2.2
53618,38.28333333,106.25,0.7,0.2,0.8999999999999999
53619,38.11666667,106.3,0.9,0.1,1.0
53644,38.6,108.8333333,31.1,0.0,31.1
53646,38.26666667,109.7833333,9.1,4.3,13.399999999999999
53651,38.81666667,110.4666667,29.6,4.1,33.7
53658,38.03333333,110.4833333,38.3,2.6,40.9
53659,37.96666667,111.0,52.8,6.0,58.8
53660,39.01666667,111.0833333,41.6,0.2,41.800000000000004
53662,38.71666667,111.5833333,9.4,3.0,12.4
53663,38.91666667,111.8166667,44.3,0.6,44.9
53664,38.46666667,111.1333333,12.6,0.1,12.7
53665,38.28333333,111.65,4.4,4.4,8.8
53666,38.35,111.9333333,23.1,5.6,28.700000000000003
53669,38.08333333,111.8,14.4,9.2,23.6
53673,38.73333333,112.7166667,4.5,3.1,7.6
53674,38.4,112.7,15.6,11.3,26.9
53676,38.5,112.9833333,108.6,33.1,141.7
53677,37.93333333,112.4833333,40.3,33.6,73.9
53678,38.06666667,112.65,27.4,18.6,46.0
53679,37.75,112.55,40.1,9.9,50.0
53680,38.3,114.3833333,145.1,117.7,262.8
53681,38.83333333,113.3666667,91.5,43.0,134.5
53682,38.63333333,114.6833333,110.8,72.8,183.6
53685,38.06666667,113.4166667,91.3,61.9,153.2
53687,37.78333333,113.6333333,84.8,63.3,148.1
53688,38.41666667,114.55,130.5,87.0,217.5
53689,38.01666667,115.0666667,121.7,33.5,155.2
53690,38.85,114.1833333,171.3,117.5,288.8
53691,38.15,114.5666667,136.4,90.6,227.0
53692,38.73333333,114.9833333,211.7,103.6,315.29999999999995
53693,38.03333333,114.1333333,198.8,155.4,354.20000000000005
53694,38.26666667,114.2166667,371.1,307.4,678.5
53695,38.35,114.6833333,151.2,79.3,230.5
53696,38.55,115.0166667,130.4,71.6,202.0
53697,38.03333333,114.8333333,105.1,36.8,141.89999999999998
53699,38.18333333,114.95,113.2,37.8,151.0
53704,37.53333333,105.1833333,2.8,2.8,5.6
53705,37.48333333,105.6833333,2.1,2.1,4.2
53707,36.93333333,105.25,0.4,0.3,0.7
53723,37.8,107.3833333,1.2,1.2,2.4
53725,37.58333333,107.5833333,0.2,0.0,0.2
53727,37.16666667,107.1166667,0.9,0.8,1.7000000000000002
53730,38.18333333,107.4833333,1.1,1.1,2.2
53732,37.85,108.7166667,1.2,1.2,2.4
53735,37.61666667,108.8,3.0,3.0000000000000004,6.0
53738,36.91666667,108.1666667,32.1,32.1,64.2
53740,37.93333333,109.2333333,21.3,15.7,37.0
53748,37.18333333,109.7,12.8,4.2,17.0
53750,37.76666667,110.1833333,11.8,1.1,12.9
53751,37.6,110.05,10.0,6.0,16.0
53753,37.43333333,110.8833333,37.7,7.0,44.7
53754,37.5,110.2166667,4.6,2.6,7.199999999999999
53756,37.51666667,110.7166667,14.3,4.3,18.6
53757,37.11666667,110.1166667,1.7,1.6,3.3
53759,36.98333333,110.8333333,39.3,0.9,40.199999999999996
53760,37.88333333,111.2333333,25.9,20.1,46.0
53763,37.91666667,112.1666667,15.0,7.5,22.5
53764,37.5,111.1,34.7,11.2,45.900000000000006
53767,37.33333333,111.1666667,8.1,1.3,9.4
53768,37.15,111.75,11.3,1.0,12.3
53769,37.25,111.7833333,3.1,0.7,3.8
53770,37.35,112.35,5.9,1.6,7.5
53771,37.41666667,112.05,5.8,4.9,10.7
53772,37.61666667,112.5833333,6.4,4.5,10.9
53773,36.33333333,114.6166667,271.1,187.2,458.3
53774,37.58333333,112.3666667,4.2,2.7,6.9
53775,37.41666667,112.6,15.9,6.6,22.5
53776,37.68333333,112.7666667,34.7,20.8,55.5
53777,37.53333333,112.15,5.0,1.9,6.9
53778,37.16666667,112.2166667,12.4,0.0,12.4
53780,37.9,113.15,85.5,48.3,133.8
53781,36.86666667,114.4666667,233.3,154.20000000000002,387.5
53782,37.93333333,113.6166667,118.3,67.7,186.0
53783,37.6,113.7,96.7,64.6,161.3
53784,37.75,114.7833333,97.5,52.0,149.5
53785,37.51666667,114.6666667,211.5,138.1,349.6
53786,37.08333333,113.3333333,78.1,67.5,145.6
53787,37.06666667,112.9833333,79.8,40.1,119.9
53788,37.33333333,113.5666667,104.2,39.8,144.0
53789,37.88333333,114.6333333,147.4,92.7,240.10000000000002
53790,37.63333333,114.6,192.1,122.1,314.2
53791,37.76666667,114.5166667,313.7,156.6,470.29999999999995
53792,37.45,114.4833333,363.5,210.2,573.7
53794,37.35,114.75,164.7,100.0,264.7
53795,37.65,114.3666667,284.9,200.3,485.2
53796,37.61666667,114.8833333,96.8,39.1,135.9
53797,37.28333333,114.5166667,326.4,167.3,493.7
53798,37.06666667,114.5,244.2,144.7,388.9
53799,37.23333333,114.9833333,135.8,98.3,234.10000000000002
53806,36.56666667,105.65,2.0,0.4,2.4
53810,36.96666667,105.9,4.3,0.1,4.3999999999999995
53817,36.0,106.2666667,34.4,1.4,35.8
53821,36.56666667,107.3,15.0,4.4,19.4
53829,35.98333333,107.9,65.1,24.9,90.0
53832,36.76666667,108.7666667,2.5,1.7000000000000002,4.2
53841,36.88333333,109.3166667,57.8,34.4,92.19999999999999
53848,36.26666667,109.35,32.9,15.6,48.5
53850,36.88333333,110.1833333,8.6,7.3,15.899999999999999
53852,36.76666667,110.6333333,0.5,0.1,0.6
53853,36.7,110.95,12.8,0.9,13.700000000000001
53854,36.58333333,110.0666667,13.1,11.0,24.1
53856,36.46666667,110.75,2.6,1.1,3.7
53857,36.06666667,110.1833333,1.9,0.5,2.4
53859,36.1,110.6666667,18.0,0.1,18.1
53860,36.98333333,111.1666667,16.3,1.4,17.7
53861,35.88333333,111.3833333,158.7,127.4,286.1
53862,36.85,111.8,24.6,10.1,34.7
53863,37.03333333,111.9166667,6.2,0.0,6.2
53864,36.4,111.1,12.5,0.1,12.6
53865,36.65,111.55,11.9,5.8,17.7
53866,36.23333333,111.6666667,23.9,10.2,34.099999999999994
53868,36.06666667,111.5,27.2,12.6,39.8
53869,36.58333333,111.7,21.3,5.699999999999999,27.0
53871,36.83333333,112.85,124.4,94.7,219.10000000000002
53872,36.76666667,112.6833333,153.7,71.8,225.5
53873,36.1,112.8666667,140.7,80.4,221.1
53874,36.25,111.9,31.2,7.3,38.5
53875,36.51666667,112.35,82.3,37.6,119.9
53877,36.16666667,112.25,61.3,30.5,91.8
53878,36.51666667,113.3833333,172.4,105.1,277.5
53879,36.31666667,112.8833333,115.0,71.2,186.2
53880,36.33333333,113.2333333,133.2,72.5,205.7
53881,37.28333333,106.4833333,8.0,0.0,8.0
53882,36.06666667,113.0333333,189.5,119.1,308.6
53883,37.13333333,114.7,168.3,107.7,276.0
53884,36.51666667,113.0333333,122.3,79.1,201.39999999999998
53885,36.11666667,113.2,192.5,88.7,281.2
53886,36.56666667,113.6666667,262.3,195.1,457.4
53888,36.2,113.4333333,255.0,155.3,410.3
53889,36.06666667,113.8166667,443.3,272.7,716.0
53890,36.66666667,114.1,381.1,298.9,680.0
53891,37.01666667,114.6833333,187.1,123.6,310.7
53892,36.61666667,114.4666667,223.6,192.7,416.29999999999995
53893,36.76666667,114.95,142.3,123.5,265.8
53894,36.4,114.2,429.8,354.9,784.7
53895,36.78333333,114.5,230.0,169.7,399.7
53896,36.35,114.95,172.6,105.5,278.1
53897,36.38333333,114.3833333,369.1,306.4,675.5
53898,36.05,114.1333333,665.5,535.5,1201.0
53899,36.48333333,114.9666667,153.7,112.6,266.29999999999995
53903,35.96666667,105.7166667,12.3,5.0,17.3
53906,35.51666667,105.7166667,14.2,3.3000000000000003,17.5
53908,35.21666667,105.2333333,58.0,17.1,75.1
53910,35.66666667,106.2,30.9,12.4,43.3
53914,35.61666667,106.1166667,17.4,1.2,18.599999999999998
53915,35.55,106.6666667,28.6,1.8,30.400000000000002
53916,35.5,106.3166667,25.9,1.4,27.299999999999997
53917,35.21666667,106.0666667,21.4,0.5,21.9
53923,35.73333333,107.6333333,33.1,12.5,45.6
53924,35.06666667,107.6166667,76.5,10.8,87.3
53925,35.68333333,107.1833333,39.8,16.1,55.9
53926,35.35,107.35,43.2,6.3,49.5
53927,35.2,106.6166667,37.5,19.3,56.8
53928,35.3,107.0166667,41.6,14.6,56.2
53929,35.2,107.8,1000047.7,24.4,1000072.1
53930,36.45,107.9833333,5.0,5.0,10.0
53931,36.0,109.3666667,30.2,16.8,47.0
53934,35.78333333,107.9833333,52.9,32.800000000000004,85.7
53935,35.48333333,108.4,28.8,4.2,33.0
53937,35.51666667,107.9166667,56.9,29.0,85.9
53938,35.16666667,108.3,4.1,1.4,5.5
53941,35.18333333,109.5833333,10.4,6.3,16.7
53942,35.76666667,109.4166667,62.2,24.5,86.7
53944,35.56666667,109.25,23.2,10.9,34.1
53945,35.43333333,109.0666667,90.7,16.1,106.80000000000001
53946,35.6,109.8166667,32.1,7.6,39.7
53947,35.08333333,109.0666667,79.7,7.6,87.3
53948,34.95,109.5833333,74.0,28.8,102.8
53949,35.18333333,109.9166667,9.0,0.2,9.2
53950,35.23333333,110.15,38.4,1.5,39.9
